artist,title
George Ezra,Hold my girl
"Rudimental feat. Jess Glynne, Macklemore + Dan",These days
En Vogue,Don't let go (love)
Talk Talk,Such A Shame
David Guetta & Sia,Flames
Felix Jaehn & Polina,Book Of Love
Stefanie Heinzmann,Shadows
Amy MacDonald,Slow It Down
Robin Schulz feat. Harloe,All This Love
The Black Eyed Peas,Shut Up
Nelly Furtado,Say it right
Sheppard,Geronimo
Lotte & Max Giesinger,"Auf das, was da noch kommt"
Robin Schulz & Marc Scibilia,Unforgettable
Queen,I Was Born To Love You
Martin Garrix feat. Bonn,No Sleep
Rihanna,Diamonds
Alice Merton,No Roots
Alle Farben & Younotus,Please Tell Rosie
Avicii & Audra Mae,Addicted To You
Kygo & Selena Gomez,It Ain't Me
Will Smith,Men In Black
Frankie Goes To Hollywood,Relax
Omi,Cheerleader
Die Ärzte,Westerland
Imagine Dragons,Whatever It Takes
Israel Kamakawiwo'ole,Over The Rainbow
Frida Gold,Wovon Sollen Wir Träumen
Rea Garvey,Let's Be Lovers Tonight
Hall & Oates,Maneater
Michael Jackson,Who Is It
Lena,Satellite
Kris & Thomas Dante,Diese Tage
Shakira,"Whenever, Wherever"
Max Raabe und das Palast Orchester feat. Samy Deluxe,Der Perfekte Moment... Wird Heut Verpennt
Nickelback,If Everyone Cared
Kygo & Imagine Dragons,Born To Be Yours
Ilira,Royalty
Guns 'n' Roses,Knockin' On Heaven's Door
Michael Schulte,Back To The Start
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart
Linkin Park,Shadow Of The Day
No Doubt,Don't Speak
Kungs & Jamie N Commons,Don't You Know
Pharrell Williams,Happy
Britney Spears,Baby One More Time
Pink,U + Ur Hand (You And Your Hand)
El Profesor,Bella Ciao
Lewis Capaldi,Someone You Loved
Martin Solveig & Jax Jones & Madison Beer,All Day And Night
David Guetta & Sam Martin,Dangerous
Katy Perry,The One That Got Away
Toploader,Dancing In The Moonlight
Madcon,Keep My Cool
Twenty One Pilots,Ride
Sean Paul & David Guetta & Becky G,Mad Love
Usher,DJ Got Us Fallin' In Love
Felix Jaehn & Hight & Alex Aiono,Hot2Touch
Luis Fonsi feat. Demi Lovato,Échame La Culpa
Dagny,Come Over
J. Balvin & Willy William,Mi Gente
Stromae,Papaoutai
Flo Rida & Sia,Wild Ones
Culture Beat,Inside Out
Naughty Boy & Sam Smith,La La La
Ariana Grande & The Weeknd,Love Me Harder
Mabel,Boyfriend
Avicii feat. Aloe Blacc,SOS
Daniel Merriweather,Change
Younotus & Kelvin Jones,Seventeen
Felix Jaehn feat. Hearts & Colors & Adam Trigger,Like A Riddle
Empire Of The Sun,Walking On A Dream
Major Lazer,Light It Up
N-Trance,Stayin' Alive
Selena Gomez & Marshmello,Wolves
Madonna,Vogue
Lauv,I like me better - Cheat Codes Remix
Calvin Harris & Dua Lipa,One Kiss
Lucenzo & Don Omar,Danza Kuduro
Katy Perry,I Kissed A Girl
Ed Sheeran,Sing
Meduza,Born To Love
Fleur East,Sax
Matt Simons,Lose control
John Farnham,Pressure down
Rea Garvey,Can't say no
Jax Jones + Bebe Rexha,Harder
Kara Marni,Curve
Simply Red,Stars
David Guetta feat. Anne-Marie,Don't leave me alone
Adel Tawil feat. Matisyahu,Zuhause
Juli,Perfekte Welle
Phil Collins,Sussudio
Lady Gaga + Bradley Cooper,Always remember us this way
Rudimental feat. James Arthur,Sun comes up
Anne Clark,Poem without words 2 - Journey by night (inst.)
Philipp Dittberner + Marv,So kann es weitergehen
